csv_file_name,Runtime,N_struc,N_attempts,N_est,Status,E,dE,R2,Chi2,Rwp,SPG,Wyckoff,Cell,WP_qrs_id
BaO6_15.csv,1h 29m 17s,169,226,3,Success,-5.1976,0.0476,0.998,0.0282,4.3156,15,"[['4e'], ['8f', '8f', '8f']]","['9.4401', '6.3466', '8.0462', '92.64']",
BiFe2O9Si2_8.csv,1h 6m 7s,58,143,18,C-Success,-6.7826,0.0489,0.9941,0.1806,7.3489,5,"[['2a'], ['4c'], ['4c', '4c', '4c', '4c', '2b'], ['4c']]","['5.3112', '8.9939', '8.0415', '102.09']",
As3Ba_12.csv,2h 29m 1s,178,277,18,Success,-4.6089,0.0004,0.9981,0.0257,4.2431,5,"[['4c', '4c', '4c'], ['4c']]","['10.3198', '7.8963', '6.1442', '113.44']",
AlGe6Nd2_12.csv,2h 29m 10s,94,914,14,Success,-5.0134,0.0001,0.9988,0.0277,3.3575,12,"[['4i'], ['8j', '4i', '4i', '4i', '4i'], ['8j']]","['8.4093', '8.7835', '10.7194', '101.5']",
B4Nd2Ni5_12.csv,2h 39m 34s,141,678,9,Success,-6.3957,0.0003,0.9988,0.042,3.3636,12,"[['4i', '4i'], ['4i'], ['8j', '2c']]","['9.8038', '5.0984', '6.7811', '125.72']",
C9La7Os4_12.csv,15m 53s,6,12,2,Failure,,,,,,,,,
AsIrSb_14.csv,2h 50m 10s,198,427,44,C-Success,-6.2997,0.0003,0.9888,0.4496,10.2297,14,"[['4e'], ['4e'], ['4e']]","['6.4114', '6.4002', '6.5541', '114.11']",
AsS2Sb2_12.csv,2h 55m 28s,310,406,23,Success,-4.3813,0.0021,0.9983,0.0299,3.9918,5,"[['4c'], ['4c', '4c'], ['4c', '4c']]","['11.0296', '4.0085', '12.5836', '114.12']",
Ag3Ir2LiO6_12.csv,3h 4m 43s,85,698,53,Success,-5.5043,0.0002,0.9989,0.0226,3.2189,12,"[['4h', '2c'], ['4g'], ['2b'], ['8j', '4i']]","['5.3518', '9.2454', '6.6342', '105.61']",
BaP3_12.csv,2h 9m 8s,184,265,9,Success,-5.1967,0.0018,0.9985,0.0335,3.6712,5,"[['4c'], ['4c', '4c', '4c']]","['11.817', '7.7505', '4.8012', '112.52']",
C2La2N4O_15.csv,1h 9m 50s,59,115,22,Success,-8.6202,0,0.9986,0.0346,3.652,15,"[['8f'], ['8f'], ['8f', '8f'], ['4e']]","['13.5826', '6.281', '6.142', '104.7118']",
Ag2O6PV_12.csv,3h 24m 35s,116,2593,53,Success,-6.1299,0,0.9975,0.0599,4.8227,35,"[['4d', '4c'], ['4e', '4e', '4e', '4e', '4d', '4c'], ['2b', '2a'], ['4e']]","['6.3511', '12.6142', '6.4356']",
C2Ca_12.csv,1h 46m 53s,197,291,636,Success,-6.7957,0,0.9949,0.0548,5.8274,12,"[['4i', '4i'], ['4i']]","['7.1687', '3.843', '7.4725', '106.85']",
BaP2_14.csv,3h 24m 22s,321,1228,4,Failure,,,,,,,,,
Ca2Mg_12.csv,1h 37m 30s,105,127,13,Success,-1.8899,0.0183,0.9963,0.0625,5.4499,8,"[['2a', '2a', '2a', '2a'], ['2a', '2a']]","['13.9598', '3.7819', '8.3374', '105.97']",
Ca7Mg2N6_12.csv,1h 33m 28s,119,280,12,Success,-5.191,0,0.9977,0.0401,4.4292,12,"[['8j', '4h', '2b'], ['4i'], ['8j', '4i']]","['6.1418', '12.6588', '6.4252', '94.58']",
CCaO3_5.csv,2h 7m 47s,102,284,70,Success,-7.4822,0,0.9969,0.0351,5.133,5,"[['4c', '2b'], ['4c', '2a'], ['4c', '4c', '4c', '4c', '2b']]","['8.7524', '5.011', '8.7456', '90.77']",
CdP4_14.csv,35m 47s,30,35,16,Success,-4.5905,0,0.9976,0.0312,4.6689,14,"[['2c'], ['4e', '4e']]","['5.3318', '5.2061', '7.7129', '99.09']",
AlBeH5_15.csv,4h 55m 44s,106,134,375,Success,-3.437,0.0712,0.9946,0.0547,6.8348,9,"[['4a'], ['4a'], ['4a', '4a', '4a', '4a', '4a']]","['6.026', '7.1236', '6.3072', '116.41']",
Ce2O2Sb_12.csv,35m 3s,41,56,418,C-Success,-7.1996,0.0101,0.993,0.1445,8.231,8,"[['2a', '2a'], ['2a', '2a'], ['2a']]","['5.6773', '5.6624', '6.8233', '113.084']",
As4CoFe_10.csv,5h 37m 45s,598,1773,799,Success,-5.9856,0.0008,0.9964,0.0514,5.8799,43,"[['16b', '16b'], ['8a'], ['8a']]","['10.4454', '11.8928', '5.939']",
Br3NbO_14.csv,4h 8m 41s,491,798,121,Success,-5.3407,0,0.9988,0.0257,3.379,14,"[['4e', '4e', '4e'], ['4e'], ['4e']]","['3.9778', '12.119', '12.7315', '107.75']",
BiNbO4_5.csv,4h 32m 31s,140,4350,22,Failure,,,,,,,,,
Ce2Mg_12.csv,1h 35m 59s,83,115,19,Success,-4.4343,0,0.9982,0.0278,4.1586,8,"[['2a', '2a', '2a', '2a'], ['2a', '2a']]","['10.6956', '3.2529', '9.6621', '112.41']",
Al2CuNiPr2_6.csv,6h 5m 27s,125,4744,32,Failure,,,,,,,,,
BaCuN_15.csv,5h 26m 11s,382,640,79,C-Success,-5.128,0,0.9873,0.2163,10.9804,15,"[['8f', '4e'], ['8f', '4c'], ['8f', '4a']]","['14.5592', '5.6177', '9.5732', '102.74']",
Br5La2_11.csv,4h 38m 47s,296,494,7,Success,-4.5752,0.0036,0.9977,0.0541,4.5193,11,"[['2e', '2e', '2e', '2e', '2e'], ['2e', '2e']]","['8.0451', '4.3028', '13.6222', '91.01']",
Bi3Ca2O8_12.csv,5h 27m 14s,418,960,18,Success,-5.8536,0,0.9984,0.0233,3.8462,12,"[['4h', '2a'], ['4i'], ['8j', '4i', '4i']]","['11.8272', '6.8071', '5.8117', '111.31']",
Co3NaO6_12.csv,30m 58s,35,195,326,Success,-5.6552,0,0.9982,0.013,4.1981,12,"[['4h', '2c'], ['2a'], ['8j', '4i']]","['4.8932', '8.4785', '5.8841', '106.4049']",
AsF6I2_12.csv,6h 43m 29s,743,2851,14,C-Success,-3.6921,0.0247,0.9871,0.2697,10.8113,12,"[['4i'], ['8j', '4i', '4i', '4i', '4i'], ['8j']]","['12.6444', '10.3226', '6.0352', '101.24']",
Co3Se4_12.csv,25m 50s,33,52,24,Success,-5.3035,0,0.9984,0.0319,3.8312,12,"[['4i', '2d'], ['4i', '4i']]","['11.815', '3.5764', '6.1705', '119.46']",
CoCuLi2O4_5.csv,27m 57s,0,10356,6,Failure,,,,,,,,,
CoLi2MnO4_10.csv,27m 22s,34,53,91,Success,-6.1335,0,0.997,0.033,5.1673,5,"[['2a'], ['4c'], ['2b'], ['4c', '4c']]","['9.7526', '2.9183', '5.2134', '100.07']",
Cl3NbSe_13.csv,2h 49m 57s,225,376,20,Success,-4.9321,0.0044,0.9962,0.0543,5.9305,13,"[['4g', '4g', '4g'], ['4g'], ['4g']]","['6.6473', '7.104', '12.1556', '98.21']",
Co2Li5MnO8_5.csv,1h 48m 39s,98,294,18,Success,-5.6761,0.0484,0.9972,0.0283,5.0009,5,"[['2b', '2a'], ['4c', '4c', '2b'], ['2a'], ['4c', '4c', '4c', '4c']]","['10.2569', '5.8071', '5.0527', '110.2567']",
Cl3Yb_12.csv,3h 12m 8s,268,606,69,Success,-3.4008,0.0081,0.999,0.0415,3.0846,12,"[['8j', '4i'], ['4h']]","['6.706', '14.2347', '5.7683', '124.655']",
CoO4Sr2_12.csv,20m 38s,10,81,150,Success,-6.0372,0.0002,0.9985,0.0274,3.8,59,"[['2a'], ['4e', '2b', '2a'], ['4e']]","['3.8876', '12.3956', '3.9284']",
BrCuH6N2_15.csv,6h 14m 23s,274,432,36,Success,-4.6166,0.0439,0.9981,0.0363,4.154,15,"[['4e'], ['4b'], ['8f', '8f', '8f'], ['8f']]","['6.6809', '12.8716', '5.8092', '114.65']",
AgO3P_14.csv,8h 37m 58s,805,1602,95,Success,-6.1163,0.0126,0.9982,0.0359,4.0802,14,"[['4e'], ['4e', '4e', '4e'], ['4e']]","['5.8744', '4.0524', '11.968', '111.5242']",
Cr2LiS4_10.csv,29m 56s,51,67,915,Success,-6.1856,0.0008,0.9982,0.0196,4.2145,5,"[['4c'], ['2b'], ['4c', '4c']]","['13.5747', '3.4291', '5.9029', '115.3497']",
Cr2LiS4_12.csv,28m 7s,44,61,211,Success,-6.0987,0.0386,0.9878,0.109,10.6633,14,"[['4e'], ['2c'], ['4e', '4e']]","['5.5982', '3.0842', '12.6244', '93.71']",
Ca8Mn3N8_12.csv,5h 57m 44s,211,651,2,Failure,,,,,,,,,
CaGaLiN2_14.csv,5h 35m 8s,330,1037,64,C-Success,-5.4285,0,0.9939,0.146,7.4729,14,"[['4e'], ['4e'], ['4e'], ['4e', '4e']]","['5.8214', '6.9755', '5.9451', '90.03']",
